$MOTION,192.00,-0.78,-0.57,0.13,-17.44,1.26,5.40,0.07,-0.19,-0.14
$MOTION,194.00,0.96,0.02,-0.01,-3.01,0.13,5.23,0.23,-0.17,-0.16
$MOTION,207.00,0.96,0.03,-0.01,-3.13,0.20,5.29,0.22,-0.17,-0.16
$MOTION,215.00,0.96,0.03,-0.01,-3.01,0.36,5.64,0.22,-0.17,-0.16
$MOTION,192.00,0.97,0.03,-0.04,-3.05,0.02,5.84,0.22,-0.17,-0.16
$MOTION,192.00,0.97,0.03,-0.02,-3.56,0.32,5.87,0.23,-0.17,-0.16
$MOTION,200.00,0.89,0.10,-0.11,-1.99,2.48,4.93,0.23,-0.17,-0.16
$MOTION,207.00,1.00,0.05,0.00,-3.03,0.89,5.67,0.22,-0.17,-0.16
$GPRMC,020154.000,A,1513.1491,N,14543.0174,E,0.02,307.44,020217,,,A*62
$MOTION,232.00,0.98,0.02,-0.00,-2.82,0.13,4.74,0.22,-0.17,-0.16
$MOTION,192.00,0.97,0.03,-0.01,-2.86,0.01,5.79,0.22,-0.17,-0.16
$MOTION,192.00,0.96,0.04,-0.01,-2.98,0.16,4.90,0.22,-0.18,-0.16
$MOTION,192.00,0.97,0.03,-0.01,-3.07,0.20,7.51,0.22,-0.17,-0.17
$MOTION,206.00,0.97,0.03,-0.01,-3.30,0.28,5.50,0.22,-0.17,-0.17
$MOTION,206.00,0.96,0.03,-0.01,-3.28,0.22,5.57,0.22,-0.17,-0.17
$MOTION,192.00,0.97,0.03,-0.01,-3.39,0.33,5.75,0.22,-0.18,-0.16
$MOTION,192.00,0.97,0.02,-0.01,-3.13,0.41,5.50,0.22,-0.17,-0.17
$MOTION,215.00,0.96,0.04,-0.03,-2.80,-1.78,5.59,0.22,-0.18,-0.16
$MOTION,206.00,0.97,0.03,-0.01,-3.15,0.31,5.26,0.22,-0.17,-0.17
$GPRMC,020158.000,A,1513.1491,N,14543.0174,E,0.02,307.44,020217,,,A*6E
$MOTION,207.00,0.97,0.03,-0.01,-3.13,0.13,5.70,0.23,-0.17,-0.17
$MOTION,192.00,0.96,0.03,-0.00,-3.05,0.43,5.79,0.22,-0.18,-0.17
$MOTION,192.00,0.97,0.03,-0.01,-2.91,0.25,4.61,0.22,-0.17,-0.16
$MOTION,204.00,0.97,0.03,-0.00,-3.72,0.70,3.84,0.22,-0.17,-0.16
$MOTION,207.00,0.98,0.05,-0.00,-2.99,0.33,5.58,0.22,-0.17,-0.16
$MOTION,206.00,0.96,0.04,-0.01,-3.44,0.33,7.33,0.21,-0.18,-0.16
$MOTION,192.00,0.96,0.03,-0.01,-3.11,0.28,5.29,0.22,-0.17,-0.17
$MOTION,192.00,0.96,0.01,0.00,-3.26,0.52,5.74,0.22,-0.17,-0.16
$MOTION,192.00,1.03,0.05,-0.01,-3.15,0.50,5.62,0.22,-0.17,-0.17
$MOTION,208.00,0.99,0.02,-0.05,-2.97,-0.33,5.47,0.23,-0.18,-0.17
$MOTION,209.00,1.56,0.58,0.16,-2.93,0.50,5.39,0.22,-0.18,-0.17
$MOTION,193.00,1.02,0.04,-0.08,-3.64,0.04,5.58,0.22,-0.17,-0.17
$MOTION,193.00,0.97,0.05,0.00,-3.30,0.16,5.62,0.22,-0.17,-0.17
$MOTION,200.00,0.98,0.03,-0.01,-3.43,0.31,7.60,0.22,-0.17,-0.17
$MOTION,207.00,1.13,0.08,-0.01,-2.24,0.34,4.90,0.21,-0.17,-0.16
$MOTION,206.00,0.94,0.02,0.01,-3.31,0.71,4.52,0.22,-0.17,-0.17
$MOTION,192.00,0.89,-0.00,0.35,-5.08,5.38,4.72,0.22,-0.17,-0.17
$MOTION,192.00,0.99,0.03,0.01,-5.10,0.51,2.98,0.22,-0.18,-0.17
$MOTION,206.00,0.99,-0.02,0.01,-1.85,0.02,5.00,0.24,-0.18,-0.16
$MOTION,206.00,0.98,-0.01,-0.03,0.95,1.73,12.32,0.23,-0.17,-0.16
$GPRMC,020201.000,A,1513.1491,N,14543.0174,E,0.02,307.44,020217,,,A*61
$MOTION,207.00,0.96,-0.02,-0.07,-0.84,-2.16,5.01,0.22,-0.17,-0.17
$MOTION,192.00,0.97,0.00,0.00,-2.71,0.14,5.89,0.22,-0.17,-0.17
$MOTION,192.00,0.91,-0.01,-0.04,-2.51,0.16,5.46,0.23,-0.17,-0.16
$MOTION,200.00,0.99,-0.01,-0.01,-2.86,0.19,7.17,0.23,-0.17,-0.16
$MOTION,206.00,0.97,-0.02,-0.01,-2.73,0.95,4.03,0.24,-0.17,-0.17
$MOTION,206.00,0.97,-0.03,-0.01,-3.16,1.95,1.02,0.26,-0.18,-0.17
$MOTION,196.00,0.98,-0.07,-0.01,-5.17,-0.01,-25.02,0.28,-0.18,-0.16
$MOTION,192.00,1.06,-0.13,-0.07,6.32,-8.93,65.83,0.25,-0.16,-0.16
$MOTION,205.00,1.02,-0.03,-0.01,-3.04,0.22,6.01,0.24,-0.16,-0.16
$MOTION,206.00,0.94,-0.04,-0.01,-3.33,0.48,5.30,0.24,-0.16,-0.16
$GPRMC,020203.000,A,1513.1491,N,14543.0174,E,0.02,307.44,020217,,,A*63
$MOTION,207.00,0.97,-0.03,-0.01,-2.99,0.22,4.88,0.24,-0.16,-0.17
$MOTION,192.00,0.95,-0.02,-0.01,-3.54,0.10,5.38,0.24,-0.16,-0.17
$MOTION,192.00,0.97,-0.03,-0.01,-3.13,0.40,5.59,0.24,-0.16,-0.17
$MOTION,202.00,0.97,-0.03,-0.02,-3.02,0.29,5.27,0.23,-0.16,-0.17
$MOTION,206.00,1.15,-0.17,0.11,-4.65,8.48,-13.82,0.23,-0.16,-0.17
$MOTION,206.00,1.07,-0.02,-0.03,-5.15,5.77,18.95,0.23,-0.17,-0.16
$MOTION,192.00,1.05,0.12,-0.01,-4.56,2.75,10.30,0.22,-0.17,-0.16
$MOTION,194.00,0.93,0.07,-0.07,-2.78,-2.16,1.88,0.22,-0.17,-0.16
$MOTION,193.00,0.96,0.06,-0.03,-3.01,-1.59,2.15,0.22,-0.17,-0.15
$MOTION,207.00,0.94,0.03,-0.03,-1.68,-3.83,-3.67,0.23,-0.18,-0.16
$GPRMC,020205.000,A,1513.1491,N,14543.0174,E,0.01,307.44,020217,,,A*66
$MOTION,206.00,0.86,-0.04,-0.00,-2.02,-1.58,-0.05,0.23,-0.17,-0.17
$MOTION,192.00,0.92,-0.04,-0.03,-4.96,2.42,9.26,0.23,-0.17,-0.16
$MOTION,192.00,0.99,-0.01,-0.01,-1.51,1.23,7.10,0.23,-0.17,-0.17
$MOTION,218.00,0.95,-0.02,-0.01,-3.29,0.89,6.81,0.23,-0.17,-0.17
$MOTION,206.00,0.97,-0.00,-0.02,-2.65,0.84,6.48,0.23,-0.16,-0.17
$MOTION,206.00,1.00,-0.04,0.06,-5.50,0.61,8.67,0.24,-0.17,-0.16
$MOTION,192.00,0.94,-0.01,-0.02,-5.65,-2.95,1.85,0.24,-0.17,-0.16
$MOTION,194.00,0.36,0.46,-0.22,-17.08,6.18,3.66,0.23,-0.17,-0.16
$MOTION,193.00,1.15,-0.05,0.04,1.83,2.76,9.93,0.23,-0.16,-0.16
$MOTION,208.00,0.94,0.00,0.00,0.31,3.42,10.68,0.23,-0.17,-0.16
$GPRMC,020207.000,A,1513.1491,N,14543.0174,E,0.03,307.44,020217,,,A*66
$MOTION,206.00,1.00,-0.01,0.05,-5.56,1.41,1.33,0.23,-0.17,-0.17
$MOTION,193.00,0.93,-0.02,-0.02,-2.93,0.59,4.12,0.23,-0.16,-0.16
$MOTION,192.00,0.98,-0.01,-0.03,-3.01,0.38,5.72,0.23,-0.17,-0.16
$MOTION,193.00,0.98,-0.00,-0.02,-3.17,0.30,5.35,0.23,-0.17,-0.16
$MOTION,206.00,0.97,-0.01,-0.02,-3.36,0.49,5.67,0.23,-0.16,-0.16
$MOTION,216.00,0.97,-0.01,-0.02,-3.06,0.34,5.47,0.23,-0.17,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.07,0.28,5.62,0.24,-0.16,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.39,0.19,5.61,0.23,-0.17,-0.16
$MOTION,203.00,0.97,-0.01,-0.02,-3.19,0.42,7.61,0.24,-0.16,-0.16
$MOTION,208.00,0.95,-0.01,-0.02,-3.18,0.21,6.24,0.23,-0.16,-0.16
$MOTION,206.00,0.96,-0.01,-0.02,-3.14,0.25,4.00,0.23,-0.17,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.27,0.34,5.64,0.23,-0.17,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-2.97,0.31,5.56,0.23,-0.16,-0.16
$MOTION,210.00,0.98,-0.00,-0.02,-3.20,0.25,3.94,0.23,-0.16,-0.16
$MOTION,210.00,0.96,-0.01,-0.02,-3.15,0.37,5.64,0.23,-0.16,-0.17
$MOTION,192.00,0.97,-0.01,-0.02,-3.26,0.34,6.00,0.23,-0.17,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.21,0.37,5.37,0.24,-0.16,-0.16
$MOTION,192.00,0.96,-0.01,-0.02,-3.18,0.29,7.58,0.23,-0.16,-0.16
$MOTION,206.00,0.96,-0.01,-0.02,-3.10,0.40,5.59,0.23,-0.17,-0.16
$MOTION,206.00,0.97,-0.01,-0.02,-2.79,0.45,5.61,0.23,-0.16,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.29,0.36,5.65,0.23,-0.17,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.14,0.22,5.59,0.23,-0.17,-0.17
$MOTION,192.00,0.97,-0.01,-0.02,-3.36,0.14,3.96,0.23,-0.17,-0.16
$MOTION,208.00,0.96,-0.01,-0.02,-3.07,0.34,5.20,0.23,-0.16,-0.17
$MOTION,206.00,0.96,-0.01,-0.02,-3.37,0.23,5.76,0.23,-0.16,-0.16
$MOTION,192.00,0.97,-0.01,-0.02,-3.27,0.28,6.00,0.23,-0.16,-0.17
$MOTION,193.00,0.97,-0.01,-0.02,-3.15,0.16,5.44,0.23,-0.17,-0.16
$MOTION,193.00,0.97,-0.01,-0.02,-2.89,0.28,7.54,0.23,-0.16,-0.17
$MOTION,207.00,0.95,-0.01,-0.02,-3.15,0.41,5.53,0.23,-0.16,-0.17
$GPRMC,020213.000,A,1513.1491,N,14543.0175,E,0.02,307.44,020217,,,A*63
$MOTION,207.00,0.97,-0.01,-0.02,-3.00,0.34,4.92,0.24,-0.16,-0.16
$MOTION,192.00,0.96,-0.01,-0.02,-3.24,0.37,5.59,0.23,-0.16,-0.16
