$GPRMC,031507.682,A,1513.1473,N,14543.0215,E,5.07,208.77,020217,,,A*6A
$GPRMC,031508.678,A,1513.1452,N,14543.0181,E,3.65,211.92,020217,,,A*6C
$MOTION,6244.00,0.96,-0.09,-0.05,-3.16,0.55,5.92,0.25,-0.15,-0.07
$MOTION,192.00,1.00,0.02,0.28,-6.42,3.27,5.71,0.24,-0.16,-0.07
$MOTION,217.00,1.03,-0.10,-0.03,-5.35,-7.04,15.25,0.26,-0.17,-0.07
$MOTION,233.00,0.94,-0.08,-0.07,-2.65,-1.08,9.20,0.25,-0.15,-0.08
$MOTION,230.00,1.02,-0.06,0.01,-2.80,-0.39,0.21,0.27,-0.16,-0.07
$GPRMC,031509.677,A,1513.1454,N,14543.0180,E,1.73,218.29,020217,,,A*69
$MOTION,210.00,0.96,-0.10,-0.08,-0.43,-0.61,5.83,0.27,-0.15,-0.09
$MOTION,192.00,0.92,-0.11,-0.04,-19.86,-2.98,16.88,0.26,-0.13,-0.10
$MOTION,196.00,0.94,-0.12,0.06,5.94,3.66,-16.91,0.24,-0.09,-0.11
$MOTION,231.00,0.98,-0.16,-0.12,-3.57,-2.49,-10.95,0.25,-0.11,-0.10
$GPRMC,031510.676,A,1513.1459,N,14543.0184,E,0.50,218.29,020217,,,A*69
$MOTION,235.00,1.00,-0.13,-0.06,-0.34,0.82,8.17,0.26,-0.11,-0.10
$MOTION,192.00,0.96,-0.13,-0.08,-3.99,-0.10,5.05,0.25,-0.10,-0.09
$MOTION,192.00,0.94,-0.14,-0.06,5.35,0.73,2.74,0.24,-0.10,-0.10
$MOTION,216.00,0.97,-0.13,-0.07,-0.07,-0.93,0.53,0.24,-0.10,-0.09
$MOTION,206.00,0.97,-0.15,-0.03,-2.20,1.00,9.91,0.24,-0.10,-0.09
$GPRMC,031511.677,A,1513.1463,N,14543.0188,E,0.23,218.29,020217,,,A*68
$MOTION,204.00,0.98,-0.13,-0.08,-2.24,0.88,5.70,0.24,-0.11,-0.09
$MOTION,192.00,1.21,-0.22,-0.13,-2.60,0.90,6.99,0.25,-0.11,-0.09
$MOTION,192.00,0.97,-0.10,-0.04,-2.44,0.57,5.30,0.24,-0.12,-0.09
$MOTION,192.00,0.96,-0.12,-0.07,-5.24,-1.50,8.55,0.24,-0.11,-0.09
$MOTION,226.00,0.95,-0.06,0.01,3.51,5.83,5.32,0.25,-0.13,-0.09
$GPRMC,031512.677,A,1513.1465,N,14543.0188,E,0.11,218.29,020217,,,A*6C
